e_cblp,e_cp,e_cparhdr,e_maxalloc,e_sp,e_lfanew,NumberOfSections,CreationYear,FH_char0,FH_char1,FH_char2,FH_char3,FH_char4,FH_char5,FH_char6,FH_char7,FH_char8,FH_char9,FH_char10,FH_char11,FH_char12,FH_char13,FH_char14,MajorLinkerVersion,MinorLinkerVersion,AddressOfEntryPoint,BaseOfCode,BaseOfData,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,SizeOfHeaders,CheckSum,Subsystem,OH_DLLchar0,OH_DLLchar1,OH_DLLchar2,OH_DLLchar3,OH_DLLchar4,OH_DLLchar5,OH_DLLchar6,OH_DLLchar7,OH_DLLchar8,OH_DLLchar9,OH_DLLchar10,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,sus_sections,non_sus_sections,packer,packer_type,E_text,E_data,E_file,fileinfo,class,CompressionRatio,CodeDensity
144,3,4,65535,184,256,4,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,1069880,4096,1110016,0,1,1,4,0,0,0,5,1,1,1194954,3,1,0,0,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,3,0,NoPacker,6.603615938554331,5.443361799325561,6.627551562976901,1,0,8.463673911571535e-07,0.9312478840815221
144,3,4,65535,184,184,4,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,5,10,7680,4096,8192,1,1,1,4,0,0,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,3,0,NoPacker,5.205926263454652,2.123522381594788,5.318221212332834,0,0,0.00013020833333333333,0.5333333333333333
144,3,4,65535,184,272,5,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,9,0,28859,4096,32768,1,1,1,5,0,0,0,5,0,1,67688,2,1,0,1,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,4,0,NoPacker,6.238000475108531,3.380858862336601,6.507757509400918,1,0,1.7279513408902406e-05,0.4777439867293337
144,3,4,65535,184,184,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,9,0,0,4096,4096,1,1,1,6,1,6,1,5,0,1,113668,2,1,0,1,0,1,0,0,0,0,0,0,1048576,4096,1048576,4096,1,0,1,0,NoPacker,0.0,0.0,4.575091713885185,1,0,1.0458500669344042e-05,0.0
144,3,4,65535,184,224,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,13379,4096,16384,1,1,1,6,2,6,2,6,2,1,69089,2,1,0,1,0,0,0,0,1,0,0,0,262144,8192,1048576,4096,1,1,4,0,NoPacker,6.355625740574645,0.7026213300416836,5.545531401431807,1,0,2.0777925531914893e-05,0.24468085106382978
80,2,4,65535,184,256,8,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,2,25,12916,4096,16384,1,1,1,1,0,0,0,4,0,1,13458139,2,0,0,0,0,0,0,0,0,0,0,0,1048576,16384,1048576,4096,1,4,4,0,NoPacker,0.0,0.0,7.999276721726789,1,0,7.456209680546153e-08,0.0006871642841591334
144,3,4,65535,184,272,8,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,6,0,193832,4096,282624,1,1,1,4,0,0,0,4,0,1,456052,2,0,0,0,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,4,4,1,Armadillov1xxv2xx,6.595605862824177,2.8436007313833183,6.295515117996485,1,0,2.512966909251739e-06,0.6999316473000684
144,3,4,65535,184,256,5,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,24014,4096,28672,1,1,1,4,0,0,0,4,0,1,79914,2,0,0,0,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,4,0,NoPacker,5.990481088887128,1.4257428581760263,5.766048864963969,1,0,1.6137361218693518e-05,0.39659178931061195
144,3,4,65535,184,240,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,43979,4096,49152,1,1,1,6,2,6,2,6,2,1,118313,3,1,0,1,0,0,0,0,1,0,0,0,262144,8192,1048576,4096,1,1,4,0,NoPacker,6.019616947471176,3.1854968588738948,6.00272676875526,1,0,1.842570754716981e-05,0.7830188679245284
144,3,4,65535,184,224,6,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,9,0,463191,4096,823296,1,1,1,5,0,0,0,5,0,1,4119142,3,1,0,1,0,0,0,0,1,0,0,0,1048576,4096,1048576,4096,1,1,5,0,NoPacker,5.8883180464726665,2.58808555349862,3.804130995323813,0,0,2.451518764905234e-07,0.20045186393874734
